analysis_id,drug_name,delta_nll_plugin_vs_elasticnet,delta_coverage_error_plugin_vs_elasticnet,delta_nll_plugin_vs_pca_gaussian,delta_coverage_error_plugin_vs_pca_gaussian,delta_nll_plugin_vs_pca_mdn,delta_coverage_error_plugin_vs_pca_mdn
GDSC1::1359::965-D2,965-D2,0.005504003923686218,0.0019512195121951167,0.015898078366176627,0.006341463414634159,-0.011365991280269272,-0.0012195121951219592
GDSC1::135::Gemcitabine,Gemcitabine,0.01168790054039981,-0.010714285714285704,0.010354973129793166,0.03785714285714289,0.04704153370629616,0.004761904761904773
GDSC1::1360::993-D2,993-D2,-0.08765111554629756,-0.00242424242424244,-0.0869878045225656,-0.0036363636363636216,-0.0032885691137081174,0.0036363636363636424
GDSC1::1362::BAY ACCi,BAY ACCi,-0.004220892385906394,0.006060606060606044,-0.019274668126579853,-0.0012121212121212338,0.03052997076673747,-0.001212121212121213
GDSC1::1363::BAY AKT1,BAY AKT1,-0.017785142740490034,0.0012121212121212269,-0.004729272003784146,0.019393939393939432,0.052024586816245,0.004848484848484831
GDSC1::1364::BAY-HDAC11_1,BAY-HDAC11_1,-0.14916378109399542,-0.03272727272727273,-0.04902551272209377,0.04969696969696974,0.04848921575495346,0.012121212121212123
GDSC1::1365::BAY-HDAC11_2,BAY-HDAC11_2,-0.013741651224563167,-0.012121212121212144,-0.013938593783024533,0.02666666666666668,0.04953225707317577,0.00484848484848488
GDSC1::1367::BAY-HDAC11_4,BAY-HDAC11_4,0.04791392067223876,0.013333333333333336,0.059751328871340714,0.0412121212121212,0.05052194421671308,0.04606060606060606
GDSC1::1368::BAY-MPS1,BAY-MPS1,0.028855939535363362,-0.08727272727272728,0.03498582292267405,0.018181818181818243,0.012868597565271145,-0.012121212121212137
GDSC1::1369::BAY-MPS-combo-1 (paclitaxel 5 uM),BAY-MPS-combo-1 (paclitaxel 5 uM),0.07415411088204049,-0.03971631205673766,0.04799930179888934,0.010212765957446756,0.03653607296809658,0.009361702127659535
GDSC1::136::Mitomycin-C,Mitomycin-C,0.054771357200203985,-0.06352941176470595,0.03149517959239567,0.016470588235294056,0.028081987872027758,0.009411764705882335
GDSC1::1370::BAY-MPS-combo 2 (paclitaxel 1 uM),BAY-MPS-combo 2 (paclitaxel 1 uM),0.04962603229489382,-0.07042253521126762,0.03864888227592567,0.00535211267605634,0.028315734059628506,-0.008169014084507082
GDSC1::1371::PLX-4720,PLX-4720,-0.0787740773999368,-0.019999999999999983,-0.06647916771286155,0.0077777777777778,0.049723283977674004,-0.011111111111111086
GDSC1::1372::Trametinib,Trametinib,0.006793784544622206,-0.051329479768786074,-0.0084235118027296,0.018497109826589603,0.04514627400722371,-0.004624277456647376
GDSC1::1373::Dabrafenib,Dabrafenib,-0.21320965075067,0.008284023668639014,-0.16348598822192928,0.037396449704142055,0.041296000163709934,0.05704142011834323
GDSC1::1375::Temozolomide,Temozolomide,-0.02259427994070995,-0.0040677966101695,-0.06300853183694488,-0.0020338983050847206,-0.01845704837689066,-0.00881355932203388
GDSC1::1377::Afatinib,Afatinib,-0.2540335984478703,0.012359550561797737,-0.2275050340600171,0.03011235955056182,0.019775731516359807,0.02449438202247194
GDSC1::1378::Bleomycin (50 uM),Bleomycin (50 uM),0.04914323049908931,-0.0603314917127072,0.02772362466235867,0.0185635359116022,0.027054143128576458,-0.008397790055248638
GDSC1::1379::ZL109,ZL109,0.00022065773055235383,-0.023333333333333397,-0.020960524607575692,0.0033333333333332993,0.02616785191381288,0.001111111111111061
GDSC1::1382::AZD3514,AZD3514,0.03596387422858949,0.0015469613259668225,0.015753280529581026,0.004198895027624303,-0.00023011576230835828,0.007734806629834241
GDSC1::1386::Doxorubicin,Doxorubicin,0.019848037740905156,-0.06549450549450554,0.025173003261916405,-0.006153846153846142,0.027659611689505814,-0.007472527472527479
GDSC1::1392::Bleomycin (10 uM),Bleomycin (10 uM),0.0607886106653599,-0.026298342541436488,0.011214232142031877,0.02850828729281764,0.016752841257221318,0.008839779005524816
GDSC1::1393::Gemcitabine,Gemcitabine,-0.036415951226450805,-0.044198895027624294,0.012696235004000522,0.028287292817679527,0.0019523097721023674,0.0055248618784530246
GDSC1::1394::AZD6738,AZD6738,-0.10991362003725547,-0.09480662983425414,0.008861949988263618,0.0220994475138122,-0.0007558749816320987,-0.0022099447513812057
GDSC1::1401::AZD5438,AZD5438,0.034398891619927596,-0.001111111111111139,0.01749689179604963,0.00555555555555556,0.014915093961601622,0.007777777777777779
GDSC1::1402::AZD7762,AZD7762,-0.09407732428107063,-0.05767955801104976,-0.025051132857409453,-0.009060773480662958,0.035316411252916735,-0.016353591160221018
GDSC1::1403::AZD6094,AZD6094,-0.4322144556125407,-0.021436464088397764,-0.38139919618735396,-0.029171270718232008,0.08760970374244659,-0.0030939226519337212
